------------------------------------------------------------------------------
File Creation Date/Time: 22 mars 2023 13:03:00
Block Name: AuxAntPositions1 (SBF)

Sync1,Sync2,CRC,ID,BlockNumber,Revision,Length [B],TOW [s],WNc [w],TOWc [s],N,SBLength [B],NrSV,Error,AmbiguityType,AuxAntID,DeltaEast [m],DeltaNorth [m],DeltaUp [m],EastVel [m/s],NorthVel [m/s],UpVel [m/s]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
$,@,14085,5942,5942,0,68,294676.000,2254,294676.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.047,0.009,-0.006,0.002
$,@,47231,5942,5942,0,68,294677.000,2254,294677.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.046,0.009,-0.006,0.001
$,@,6734,5942,5942,0,68,294678.000,2254,294678.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.046,0.003,-0.001,-0.000
$,@,22000,5942,5942,0,68,294679.000,2254,294679.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.046,0.006,-0.001,-0.001
$,@,990,5942,5942,0,68,294680.000,2254,294680.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.045,0.005,-0.010,-0.001
$,@,36564,5942,5942,0,68,294681.000,2254,294681.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.045,-0.004,-0.002,0.002
$,@,60569,5942,5942,0,68,294682.000,2254,294682.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.046,0.002,-0.002,-0.001
$,@,41942,5942,5942,0,68,294683.000,2254,294683.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.045,-0.001,-0.009,0.001
$,@,9356,5942,5942,0,68,294684.000,2254,294684.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.434,-0.046,0.004,0.002,0.003
$,@,31434,5942,5942,0,68,294685.000,2254,294685.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.048,0.004,-0.008,-0.002
$,@,49640,5942,5942,0,68,294686.000,2254,294686.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.436,-0.047,-0.006,-0.008,0.000
$,@,57604,5942,5942,0,68,294687.000,2254,294687.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.434,-0.046,-0.005,-0.000,0.006
$,@,38784,5942,5942,0,68,294688.000,2254,294688.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.948,-2.435,-0.047,-0.003,0.017,-0.002
$,@,56252,5942,5942,0,68,294689.000,2254,294689.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.435,-0.046,0.005,0.012,0.006
$,@,711,5942,5942,0,68,294690.000,2254,294690.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.948,-2.436,-0.046,-0.005,-0.007,0.003
$,@,14004,5942,5942,0,68,294691.000,2254,294691.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.437,-0.047,-0.006,0.005,-0.002
$,@,42507,5942,5942,0,68,294692.000,2254,294692.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.436,-0.046,0.003,-0.006,-0.002
$,@,48227,5942,5942,0,68,294693.000,2254,294693.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.436,-0.046,0.000,0.002,0.002
$,@,8925,5942,5942,0,68,294694.000,2254,294694.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.948,-2.434,-0.045,0.003,0.005,0.001
$,@,45601,5942,5942,0,68,294695.000,2254,294695.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.045,0.003,0.015,0.000
$,@,47126,5942,5942,0,68,294696.000,2254,294696.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.436,-0.045,-0.013,0.010,-0.002
$,@,18654,5942,5942,0,68,294697.000,2254,294697.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.437,-0.047,-0.000,0.004,-0.001
$,@,61403,5942,5942,0,68,294698.000,2254,294698.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.045,-0.001,0.001,-0.006
$,@,30938,5942,5942,0,68,294699.000,2254,294699.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.435,-0.045,-0.003,0.010,-0.001
$,@,46193,5942,5942,0,68,294700.000,2254,294700.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.047,0.005,0.002,-0.004
$,@,65505,5942,5942,0,68,294701.000,2254,294701.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.436,-0.048,0.001,-0.000,-0.001
$,@,26365,5942,5942,0,68,294702.000,2254,294702.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.437,-0.047,0.003,-0.004,0.002
$,@,3755,5942,5942,0,68,294703.000,2254,294703.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.436,-0.046,-0.002,0.009,0.003
$,@,57711,5942,5942,0,68,294704.000,2254,294704.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.435,-0.048,-0.002,0.008,-0.004
$,@,46013,5942,5942,0,68,294705.000,2254,294705.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.048,-0.002,-0.007,-0.006
$,@,41580,5942,5942,0,68,294706.000,2254,294706.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.948,-2.435,-0.048,-0.003,0.018,-0.005
$,@,44426,5942,5942,0,68,294707.000,2254,294707.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.048,0.005,-0.013,0.005
$,@,57142,5942,5942,0,68,294708.000,2254,294708.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.049,-0.002,-0.007,-0.001
$,@,55403,5942,5942,0,68,294709.000,2254,294709.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.048,0.000,0.004,0.000
$,@,40912,5942,5942,0,68,294710.000,2254,294710.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.048,-0.003,0.006,0.001
$,@,42479,5942,5942,0,68,294711.000,2254,294711.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.049,-0.004,-0.007,-0.006
$,@,26492,5942,5942,0,68,294712.000,2254,294712.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.047,0.000,0.007,0.005
$,@,16431,5942,5942,0,68,294713.000,2254,294713.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.048,-0.000,0.011,-0.001
$,@,42676,5942,5942,0,68,294714.000,2254,294714.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.048,0.003,-0.003,0.001
$,@,56229,5942,5942,0,68,294715.000,2254,294715.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.048,0.005,-0.005,-0.002
$,@,29263,5942,5942,0,68,294716.000,2254,294716.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.048,0.000,-0.005,0.000
$,@,55913,5942,5942,0,68,294717.000,2254,294717.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.047,0.002,-0.008,0.002
$,@,38902,5942,5942,0,68,294718.000,2254,294718.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.046,0.006,0.000,0.008
$,@,26501,5942,5942,0,68,294719.000,2254,294719.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.047,-0.001,-0.005,0.003
$,@,43237,5942,5942,0,68,294720.000,2254,294720.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.047,-0.001,-0.004,0.001
$,@,49851,5942,5942,0,68,294721.000,2254,294721.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.046,-0.004,0.001,0.004
$,@,4495,5942,5942,0,68,294722.000,2254,294722.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.047,-0.006,0.000,0.001
$,@,17030,5942,5942,0,68,294723.000,2254,294723.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.047,-0.008,0.006,-0.008
$,@,40924,5942,5942,0,68,294724.000,2254,294724.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.049,0.004,0.002,-0.008
$,@,51087,5942,5942,0,68,294725.000,2254,294725.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.048,-0.000,0.016,0.001
$,@,50427,5942,5942,0,68,294726.000,2254,294726.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.048,-0.003,0.012,-0.002
$,@,29101,5942,5942,0,68,294727.000,2254,294727.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.047,0.000,-0.002,0.000
$,@,25614,5942,5942,0,68,294728.000,2254,294728.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.047,0.000,-0.001,0.002
$,@,3389,5942,5942,0,68,294729.000,2254,294729.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.944,-2.439,-0.046,0.001,-0.015,0.004
$,@,47248,5942,5942,0,68,294730.000,2254,294730.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.045,0.000,-0.005,0.001
$,@,59868,5942,5942,0,68,294731.000,2254,294731.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.045,0.004,0.002,0.004
$,@,13369,5942,5942,0,68,294732.000,2254,294732.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.045,-0.001,-0.002,0.004
$,@,65498,5942,5942,0,68,294733.000,2254,294733.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.047,0.007,0.003,-0.004
$,@,63165,5942,5942,0,68,294734.000,2254,294734.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.045,0.004,-0.005,-0.002
$,@,56514,5942,5942,0,68,294735.000,2254,294735.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.045,-0.005,0.002,0.002
$,@,41164,5942,5942,0,68,294736.000,2254,294736.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.437,-0.047,-0.007,-0.009,0.001
$,@,35200,5942,5942,0,68,294737.000,2254,294737.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.046,-0.000,0.006,0.005
$,@,26979,5942,5942,0,68,294738.000,2254,294738.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.045,-0.003,-0.001,0.003
$,@,27255,5942,5942,0,68,294739.000,2254,294739.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.436,-0.045,-0.004,0.009,-0.004
$,@,59069,5942,5942,0,68,294740.000,2254,294740.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.044,0.001,-0.006,-0.001
$,@,13842,5942,5942,0,68,294741.000,2254,294741.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.045,0.000,-0.006,0.004
$,@,358,5942,5942,0,68,294742.000,2254,294742.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.043,-0.000,0.004,-0.004
$,@,38944,5942,5942,0,68,294743.000,2254,294743.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.438,-0.042,-0.007,-0.007,0.005
$,@,8345,5942,5942,0,68,294744.000,2254,294744.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.044,-0.005,-0.005,-0.006
$,@,304,5942,5942,0,68,294745.000,2254,294745.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,0.001,-0.010,0.007
$,@,11031,5942,5942,0,68,294746.000,2254,294746.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.043,-0.006,0.016,-0.002
$,@,5322,5942,5942,0,68,294747.000,2254,294747.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,0.005,0.002,-0.000
$,@,48179,5942,5942,0,68,294748.000,2254,294748.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.045,-0.004,0.006,-0.005
$,@,42839,5942,5942,0,68,294749.000,2254,294749.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,0.009,-0.018,0.002
$,@,23622,5942,5942,0,68,294750.000,2254,294750.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.043,-0.001,-0.004,0.004
$,@,33797,5942,5942,0,68,294751.000,2254,294751.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.438,-0.044,-0.006,0.003,0.002
$,@,8061,5942,5942,0,68,294752.000,2254,294752.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.044,0.005,0.003,0.002
$,@,4580,5942,5942,0,68,294753.000,2254,294753.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.044,0.001,-0.003,0.002
$,@,4740,5942,5942,0,68,294754.000,2254,294754.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.043,0.009,-0.009,0.001
$,@,8963,5942,5942,0,68,294755.000,2254,294755.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.045,-0.003,0.008,-0.006
$,@,5507,5942,5942,0,68,294756.000,2254,294756.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.044,0.000,-0.005,0.004
$,@,41994,5942,5942,0,68,294757.000,2254,294757.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.044,-0.005,0.007,-0.006
$,@,21732,5942,5942,0,68,294758.000,2254,294758.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.046,0.000,-0.001,-0.003
$,@,23782,5942,5942,0,68,294759.000,2254,294759.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.045,0.002,-0.004,0.006
$,@,45530,5942,5942,0,68,294760.000,2254,294760.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.439,-0.046,0.001,-0.001,-0.005
$,@,56353,5942,5942,0,68,294761.000,2254,294761.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.045,0.002,0.001,-0.001
$,@,3035,5942,5942,0,68,294762.000,2254,294762.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.438,-0.044,-0.000,0.002,-0.000
$,@,54669,5942,5942,0,68,294763.000,2254,294763.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.440,-0.043,0.004,-0.005,0.002
$,@,885,5942,5942,0,68,294764.000,2254,294764.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,0.001,0.002,-0.001
$,@,8852,5942,5942,0,68,294765.000,2254,294765.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.043,0.000,-0.002,0.000
$,@,50501,5942,5942,0,68,294766.000,2254,294766.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.044,-0.003,0.009,-0.004
$,@,15374,5942,5942,0,68,294767.000,2254,294767.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.044,-0.001,0.004,-0.002
$,@,46751,5942,5942,0,68,294768.000,2254,294768.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,0.001,-0.003,0.002
$,@,47231,5942,5942,0,68,294769.000,2254,294769.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,0.008,-0.007,0.000
$,@,24312,5942,5942,0,68,294770.000,2254,294770.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.043,0.005,-0.004,-0.002
$,@,21828,5942,5942,0,68,294771.000,2254,294771.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.440,-0.044,0.002,-0.007,0.002
$,@,65161,5942,5942,0,68,294772.000,2254,294772.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.043,0.000,0.007,-0.003
$,@,1534,5942,5942,0,68,294773.000,2254,294773.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.041,-0.008,-0.002,0.004
$,@,11301,5942,5942,0,68,294774.000,2254,294774.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.042,-0.001,-0.003,-0.002
$,@,59068,5942,5942,0,68,294775.000,2254,294775.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.042,-0.005,-0.001,0.003
$,@,41918,5942,5942,0,68,294776.000,2254,294776.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.043,-0.005,-0.003,0.002
$,@,9346,5942,5942,0,68,294777.000,2254,294777.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.042,0.005,-0.003,0.003
$,@,60012,5942,5942,0,68,294778.000,2254,294778.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,-0.001,-0.011,-0.003
$,@,54774,5942,5942,0,68,294779.000,2254,294779.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.042,0.003,0.004,0.000
$,@,505,5942,5942,0,68,294780.000,2254,294780.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.043,0.005,-0.002,0.001
$,@,32160,5942,5942,0,68,294781.000,2254,294781.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.044,0.002,0.001,-0.005
$,@,60232,5942,5942,0,68,294782.000,2254,294782.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.043,0.001,-0.002,0.000
$,@,55197,5942,5942,0,68,294783.000,2254,294783.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.044,0.001,-0.012,0.001
$,@,15858,5942,5942,0,68,294784.000,2254,294784.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.044,-0.004,0.001,-0.004
$,@,62476,5942,5942,0,68,294785.000,2254,294785.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.045,-0.002,0.006,-0.007
$,@,19470,5942,5942,0,68,294786.000,2254,294786.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.042,-0.002,0.006,-0.001
$,@,46234,5942,5942,0,68,294787.000,2254,294787.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.044,0.005,0.005,-0.005
$,@,61229,5942,5942,0,68,294788.000,2254,294788.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.043,-0.008,0.013,-0.001
$,@,35900,5942,5942,0,68,294789.000,2254,294789.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.944,-2.437,-0.045,0.005,0.003,-0.001
$,@,51876,5942,5942,0,68,294790.000,2254,294790.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.044,0.003,-0.009,0.001
$,@,48625,5942,5942,0,68,294791.000,2254,294791.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.044,0.003,0.010,-0.004
$,@,47358,5942,5942,0,68,294792.000,2254,294792.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.045,-0.002,-0.002,-0.001
$,@,59421,5942,5942,0,68,294793.000,2254,294793.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.045,0.001,0.003,0.001
$,@,11408,5942,5942,0,68,294794.000,2254,294794.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.044,-0.002,-0.005,-0.001
$,@,40668,5942,5942,0,68,294795.000,2254,294795.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.043,0.002,-0.009,-0.002
$,@,17606,5942,5942,0,68,294796.000,2254,294796.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,0.003,-0.010,0.003
$,@,43015,5942,5942,0,68,294797.000,2254,294797.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.044,0.003,-0.004,-0.004
$,@,624,5942,5942,0,68,294798.000,2254,294798.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.044,-0.002,0.006,-0.003
$,@,5401,5942,5942,0,68,294799.000,2254,294799.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.043,0.002,0.007,0.000
$,@,50841,5942,5942,0,68,294800.000,2254,294800.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.944,-2.437,-0.044,0.005,0.002,-0.003
$,@,12430,5942,5942,0,68,294801.000,2254,294801.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.045,0.002,-0.004,-0.002
$,@,47410,5942,5942,0,68,294802.000,2254,294802.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.436,-0.046,0.003,0.004,-0.001
$,@,9141,5942,5942,0,68,294803.000,2254,294803.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.044,0.005,-0.001,-0.003
$,@,37176,5942,5942,0,68,294804.000,2254,294804.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.045,-0.007,0.003,-0.004
$,@,41646,5942,5942,0,68,294805.000,2254,294805.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.044,-0.009,-0.000,0.003
$,@,10031,5942,5942,0,68,294806.000,2254,294806.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.044,-0.002,-0.002,-0.000
$,@,39482,5942,5942,0,68,294807.000,2254,294807.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.044,-0.000,-0.007,0.005
$,@,23617,5942,5942,0,68,294808.000,2254,294808.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.043,0.002,-0.005,-0.002
$,@,36715,5942,5942,0,68,294809.000,2254,294809.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.439,-0.044,0.001,-0.013,-0.003
$,@,8219,5942,5942,0,68,294810.000,2254,294810.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.044,-0.004,-0.004,-0.004
$,@,30453,5942,5942,0,68,294811.000,2254,294811.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.043,-0.003,-0.002,-0.001
$,@,58262,5942,5942,0,68,294812.000,2254,294812.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.043,-0.005,-0.000,-0.004
$,@,5126,5942,5942,0,68,294813.000,2254,294813.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.044,-0.007,-0.006,-0.005
$,@,18554,5942,5942,0,68,294814.000,2254,294814.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.043,-0.004,0.002,0.000
$,@,47273,5942,5942,0,68,294815.000,2254,294815.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.043,-0.003,-0.006,-0.005
$,@,38931,5942,5942,0,68,294816.000,2254,294816.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.042,-0.000,-0.005,-0.003
$,@,28928,5942,5942,0,68,294817.000,2254,294817.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.042,0.004,-0.017,0.006
$,@,10374,5942,5942,0,68,294818.000,2254,294818.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.043,-0.001,-0.001,0.003
$,@,24220,5942,5942,0,68,294819.000,2254,294819.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.439,-0.043,-0.003,-0.008,-0.003
$,@,36753,5942,5942,0,68,294820.000,2254,294820.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.043,0.001,0.004,-0.002
$,@,47393,5942,5942,0,68,294821.000,2254,294821.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.043,0.004,0.002,-0.003
$,@,44751,5942,5942,0,68,294822.000,2254,294822.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.044,0.005,0.012,-0.004
$,@,30318,5942,5942,0,68,294823.000,2254,294823.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.043,-0.004,-0.002,-0.001
$,@,28073,5942,5942,0,68,294824.000,2254,294824.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.043,0.002,-0.006,-0.004
$,@,28794,5942,5942,0,68,294825.000,2254,294825.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.043,-0.003,-0.001,0.003
$,@,52983,5942,5942,0,68,294826.000,2254,294826.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.041,-0.007,-0.005,0.006
$,@,7551,5942,5942,0,68,294827.000,2254,294827.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.042,-0.001,-0.011,0.004
$,@,61091,5942,5942,0,68,294828.000,2254,294828.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.437,-0.042,0.002,-0.005,0.006
$,@,62227,5942,5942,0,68,294829.000,2254,294829.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.436,-0.042,0.009,-0.001,0.002
$,@,42346,5942,5942,0,68,294830.000,2254,294830.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.438,-0.041,0.007,-0.015,-0.001
$,@,9161,5942,5942,0,68,294831.000,2254,294831.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.042,-0.003,0.003,-0.001
$,@,46060,5942,5942,0,68,294832.000,2254,294832.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.042,0.007,-0.002,-0.002
$,@,1124,5942,5942,0,68,294833.000,2254,294833.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.041,-0.002,-0.009,0.009
$,@,22488,5942,5942,0,68,294834.000,2254,294834.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.945,-2.436,-0.043,0.002,0.013,0.001
$,@,54955,5942,5942,0,68,294835.000,2254,294835.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.043,-0.003,-0.006,0.001
$,@,59622,5942,5942,0,68,294836.000,2254,294836.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.438,-0.042,-0.007,-0.001,0.000
$,@,14174,5942,5942,0,68,294837.000,2254,294837.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.042,-0.005,-0.004,0.002
